ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,小妍,hide,hide,小妍_normal,hide,呀哈喽,shrine,piano lofi,False,"charjump(M,0.7,3,60)",尝试中ing
1001,,,,,,接下来我们将演示剧情分支选项,,,,,
1002,,,,,,,,,,"choice(跳转到1003|jump(1003))&choice(跳转到1006|jump(1006))&choice(跳转到新剧本2|loadscript(第二部分,1000))",
1003,小妍,hide,hide,小妍_angry,hide,分支1，1003,Sitting,,False,,
1004,,,,,,合并1010,,,,,
1005,,,,,,,,,,jump(1010),
1006,小妍,hide,hide,小妍_smile,hide,分支2，1006,Sitting,,False,,
1007,,,,,,合并1010,,,,,
1008,,,,,,,,,,jump(1010),
1009,小妍,hide,hide,小妍_smile,hide,分支3，1009，跳,Sitting,,False,,
1010,小妍,hide,hide,小妍_angry,hide,分支合并，1010,Sitting,,False,,
1011,ME,hide,hide,小妍_angry,hide,我在说话,,,False,,
1012,,,,,,,,,,,
1013,,,,,,,,,,,
1014,,,,,,,,,,,
1015,,,,,,,,,,,
1016,,,,,,,,,,,
1017,,,,,,,,,,,
1018,,,,,,,,,,,
1019,,,,,,,,,,,
1020,,,,,,,,,,,
1021,,,,,,,,,,,
1022,,,,,,,,,,,
1023,,,,,,,,,,,
1024,,,,,,,,,,,
1025,,,,,,,,,,,
1026,,,,,,,,,,,
1027,,,,,,,,,,,
1028,,,,,,,,,,,
1029,,,,,,,,,,,
1030,,,,,,,,,,,
1031,,,,,,,,,,,
1032,,,,,,,,,,,
1033,,,,,,,,,,,
1034,,,,,,,,,,,
1035,,,,,,,,,,,
1036,,,,,,,,,,,
1037,,,,,,,,,,,
1038,,,,,,,,,,,
1039,,,,,,,,,,,
1040,,,,,,,,,,,
1041,,,,,,,,,,,
1042,,,,,,,,,,,
1043,,,,,,,,,,,
1044,,,,,,,,,,,
1045,,,,,,,,,,,
1046,,,,,,,,,,,
1047,,,,,,,,,,,
1048,,,,,,,,,,,
1049,,,,,,,,,,,
1050,,,,,,,,,,,
1051,,,,,,,,,,,
1052,,,,,,,,,,,
1053,,,,,,,,,,,
1054,,,,,,,,,,,
1055,,,,,,,,,,,
1056,,,,,,,,,,,
1057,,,,,,,,,,,
1058,,,,,,,,,,,
1059,,,,,,,,,,,
1060,,,,,,,,,,,
1061,,,,,,,,,,,
1062,,,,,,,,,,,
